"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22703,"virgin","electronic","mezzanine","massive attack",9.3,0,1,2017,4221,149
"2",22725,"teklife","electronic","new start","taso",8.1,0,1,2017,4221,3
"3",22694,"stroboscopic artefacts","electronic","tehillim","yotam avni",7,0,1,2017,4221,2
"4",22700,"pan","electronic","nadir","steven warwick",7.6,0,1,2017,4221,10
"5",22713,"bedroom community","electronic","the wasp factory","ben frost",7.3,0,12,2016,4221,9
"6",22701,"pan","electronic","traditional music of notional species vol. ii","rashad becker",6.8,0,12,2016,4221,10
"7",22685,"fool's gold","electronic","in the loop: a decade of remixes","a-trak",6.4,0,12,2016,4221,27
"8",22681,"mau5trap","electronic","w:/2016album/","deadmau5",5.9,0,12,2016,4221,1
"9",22640,"drumma","electronic","melo de melo ep","ricardo villalobos, umho",7,0,12,2016,4221,1
"10",22688,"numbers","electronic","equality now ep","peder mannerfelt",7.1,0,12,2016,4221,2
"11",22687,"mom & pop","electronic","skin companion ep i","flume",6.6,0,12,2016,4221,39
"12",22627,"delicacies","electronic","welcome to sideways","simian mobile disco",6.8,0,12,2016,4221,6
"13",22555,"kompakt","electronic","box","gas",9.5,1,12,2016,4221,83
"14",22657,"subtext","electronic","blessed initiative","blessed initiative",7.5,0,12,2016,4221,1
"15",22683,"fool's gold","electronic","relationships","nick hook",7,0,12,2016,4221,27
"16",22536,"white material","electronic","how to disappear in america","young male",7.4,0,12,2016,4221,1
"17",22660,"ahead of our time","electronic","only heaven","coldcut",5.2,0,12,2016,4221,2
"18",22656,"technicolour","electronic","broken knowz","jay daniel",7.5,0,12,2016,4221,4
"19",22632,"rett i fletta","electronic","keita sano","keita sano",7.4,0,12,2016,4221,1
"20",22674,"hyperdub","electronic","young death / nightmarket","burial",6.9,0,12,2016,4221,54
"21",22535,"melody as truth","electronic","what you get for being young","suzanne kraft",8,0,12,2016,4221,2
"22",22651,"gold robot","electronic","mystery cove","monster rally",6.5,0,11,2016,4221,1
