"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22714,"warp","experimental","reflection","brian eno",7.7,0,1,2017,1943,239
"2",22715,"important","experimental","clear sounds/perfetta","harry bertoia",8,0,1,2017,1943,57
"3",22666,"cejero","experimental","brnshj (puncak)","senyawa",7.4,0,1,2017,1943,3
"4",22667,"leaving","experimental","///// effectual","jamire williams",7.2,0,12,2016,1943,16
"5",22706,"northern spy","experimental","holy science","elder ones",7.8,0,12,2016,1943,30
"6",22695,"p.w. elverum & sun","experimental","early tapes, 1996-1998","the microphones",6.5,0,12,2016,1943,14
"7",22677,"milan","experimental","jackie ost","mica levi",7.1,0,12,2016,1943,16
"8",22684,"erased tapes","experimental","grunewald","peter broderick",6.7,0,12,2016,1943,19
"9",22693,"new amsterdam","experimental","chronology","qasim naqvi",7.5,0,12,2016,1943,18
"10",22635,"bel-air glamour records","experimental","der klang der offenbarung des gttlichen","kjartan sveinsson",7.8,0,12,2016,1943,1
"11",22393,"secretly canadian","experimental","unfinished music no. 1: two virgins","yoko ono, john lennon",6.8,1,12,2016,1943,149
"12",22393,"chimera","experimental","unfinished music no. 1: two virgins","yoko ono, john lennon",6.8,1,12,2016,1943,8
"13",22638,"slipdisc","experimental","remain calm","mica levi, oliver coates",7.7,0,12,2016,1943,1
"14",22674,"hyperdub","experimental","young death / nightmarket","burial",6.9,0,12,2016,1943,54
"15",22596,"forced exposure","experimental","six pianos / keyboard study #1","steve reich, terry riley",7.2,0,11,2016,1943,1
"16",22620,"ecm new series","experimental","on behalf of nature","meredith monk",8.1,0,11,2016,1943,2
"17",22531,"northern spy","experimental","what's your sign?","oneida, rhys chatham",7.8,0,11,2016,1943,30
"18",22637,"new amsterdam","experimental","a o r t a","vicky chow",7.3,0,11,2016,1943,18
"19",22619,"sister polygon","experimental","flasher ep","flasher",7.8,0,11,2016,1943,4
"20",22394,"non","experimental","$uccessor (ded004)","dedekind cut",8.2,0,11,2016,1943,1
"21",22394,"hospital","experimental","$uccessor (ded004)","dedekind cut",8.2,0,11,2016,1943,3
"22",22501,"cantaloupe","experimental","michael gordon: timber remixed","mantra percussion",6.8,0,11,2016,1943,13
"23",22518,"cantaloupe","experimental","restless","ken thomson",7.9,0,11,2016,1943,13
"24",22527,"sony classical","experimental","the complete sony recordings","philip glass",8.6,1,11,2016,1943,1
"25",22465,"northern spy","experimental","amalgam","okkyung lee, christian marclay",8,0,11,2016,1943,30
"26",22608,"editions mego","experimental","hubris","oren ambarchi",7.5,0,11,2016,1943,51
"27",22520,"cold spring","experimental","strange city (cd)","sun ra, merzbow",7.3,0,11,2016,1943,3
"28",22576,"quiet time","experimental","qtt4","huerco s.",7.7,0,11,2016,1943,1
"29",22442,"uovooo","experimental","popp","oval",7.5,0,10,2016,1943,2
"30",22450,"sub pop","experimental","requiem ","goat",7.3,0,10,2016,1943,337
"31",22450,"rocket","experimental","requiem ","goat",7.3,0,10,2016,1943,1
"32",22472,"pan","experimental","serpent music","yves tumor",7.3,0,10,2016,1943,10
"33",22459,"smalltown supersound","experimental","13","supersilent",7,0,10,2016,1943,60
"34",22314,"sacred bones","experimental","blood bitch","jenny hval",8.3,1,10,2016,1943,92
"35",22434,"faitiche","experimental","schaum","masayoshi fujita, jan jelinek",7.9,0,10,2016,1943,3
"36",22346,"ecm","experimental","the ecm recordings","steve reich",9,1,10,2016,1943,16
"37",22425,"angry love productions","experimental","alienist","psychic tv",7,0,9,2016,1943,1
"38",22425,"dais records","experimental","alienist","psychic tv",7,0,9,2016,1943,12
"39",22424,"don giovanni","experimental","fetish bones","moor mother",8.2,0,9,2016,1943,24
"40",22302,"smalltown supersound","experimental","departed glories","biosphere",7.6,0,9,2016,1943,60
