"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22705,"mercury","folk/country","a very kacey christmas","kacey musgraves",6.8,0,12,2016,735,25
"2",22680,"vanner","folk/country","the weight of these wings","miranda lambert",7.8,0,12,2016,735,1
"3",22680,"sony","folk/country","the weight of these wings","miranda lambert",7.8,0,12,2016,735,72
"4",22395,"three lobed","folk/country","daniel bachman","daniel bachman",7.3,0,11,2016,735,27
"5",22401,"dust-to-digital","folk/country","washington phillips and his manzarene dreams","washington phillips",8.5,1,11,2016,735,12
"6",22525,"round","folk/country","folk time","hart valley drifters",7.8,0,11,2016,735,1
"7",22525,"ato","folk/country","folk time","hart valley drifters",7.8,0,11,2016,735,55
"8",22505,"don giovanni","folk/country","holiday for strings","peter stampfel",7.9,0,11,2016,735,24
"9",22587,"domino","folk/country","lodestar","shirley collins",8,0,11,2016,735,284
"10",22509,"driftless","folk/country","fires on the plain","matt kivel",7,0,10,2016,735,7
"11",22440,"paradise of bachelors","folk/country","lubbock (on everything)","terry allen",8.5,0,10,2016,735,17
"12",22323,"merge","folk/country","heart like a levee","hiss golden messenger",8.2,0,10,2016,735,275
"13",22449,"woodsist","folk/country","root/void","mv & ee",7.3,0,10,2016,735,41
"14",22362,"vhf","folk/country","red horse, white mule","jack rose",7.7,1,10,2016,735,19
"15",22423,"nonesuch","folk/country","ape in pink marble","devendra banhart",6.6,0,9,2016,735,83
"16",22386,"paradise of bachelors","folk/country","open to chance","itasca",7.8,0,9,2016,735,17
"17",22309,"fat possum","folk/country","pearls to swine","adam torres",7.5,0,9,2016,735,89
"18",22380,"orindal","folk/country","deserts of youth","lisa/liza",8,0,9,2016,735,4
"19",22330,"caroline","folk/country","we move","james vincent mcmorrow",7.3,0,9,2016,735,16
"20",22279,"paradise of bachelors","folk/country","whole & cloven","nathan bowles",7.5,0,8,2016,735,17
"21",22311,"thirty tigers","folk/country","4th of july","carl broemel",6.3,0,8,2016,735,7
"22",22198,"dead oceans","folk/country","golden sings that have been sung","ryley walker",6.5,0,8,2016,735,79
"23",22187,"gndwire","folk/country","impossible dream","haley bonar",6.8,0,8,2016,735,1
"24",22181,"cn records","folk/country","the bird & the rifle","lori mckenna",7.6,0,7,2016,735,1
"25",22092,"third man","folk/country","live at third man records","scharpling & wurster",7.8,0,7,2016,735,27
"26",22016,"chaos kitchen","folk/country","into the light","marisa anderson",7.9,0,7,2016,735,1
"27",21969,"double double whammy","folk/country","going by","told slant",7.4,0,6,2016,735,9
"28",21971,"tompkins square","folk/country","brigid mae power","brigid mae power",7.5,0,6,2016,735,29
"29",21873,"matador","folk/country","eyes on the lines","steve gunn",8,0,6,2016,735,231
"30",21916,"merge","folk/country","modern country","william tyler",8,0,6,2016,735,275
"31",21956,"new west","folk/country","mosey","daniel romano",7.1,0,5,2016,735,26
"32",21933,"omnivore","folk/country","the last word on first blues","allen ginsberg",7.9,0,5,2016,735,8
"33",21914,"paradise of bachelors","folk/country","juarez","terry allen",8,0,5,2016,735,17
"34",21864,"sacred bones","folk/country","strangers","marissa nadler",7.6,0,5,2016,735,92
"35",21875,"rado","folk/country","in glendale","tim heidecker",6.5,0,5,2016,735,2
"36",21725,"mom & pop","folk/country","skip a sinking stone","mutual benefit",7,0,5,2016,735,39
"37",21878,"lambent light","folk/country","the things that we are made of","mary chapin carpenter",6.8,0,5,2016,735,1
"38",21861,"merge","folk/country","cult following","little scream",7.5,0,5,2016,735,275
"39",21758,"atlantic","folk/country","a sailor's guide to earth","sturgill simpson",8,0,4,2016,735,153
"40",21636,"drag city","folk/country","crab day","cate le bon",8.1,0,4,2016,735,301
"41",21777,"thrill jockey","folk/country","fleeting","glenn jones",7.2,0,4,2016,735,320
"42",21660,"barsuk","folk/country","empire builder","laura gibson",7.7,0,3,2016,735,84
"43",21660,"city slang","folk/country","empire builder","laura gibson",7.7,0,3,2016,735,42
"44",21745,"third man","folk/country","midwest farmer's daughter","margo price",7,0,3,2016,735,27
"45",21591,"drag city","folk/country","epic jammers and fortunate little ditties","bonnie prince billy, bitchin bajas",7.9,0,3,2016,735,301
"46",21561,"legacy","folk/country","full circle","loretta lynn",8,0,3,2016,735,57
"47",21622,"sub pop","folk/country","heron oblivion","heron oblivion",7.7,0,3,2016,735,337
"48",21339,"rough trade","folk/country","jesu/sun kil moon","jesu, sun kil moon",7.5,0,2,2016,735,145
"49",21339,"caldo verde","folk/country","jesu/sun kil moon","jesu, sun kil moon",7.5,0,2,2016,735,32
"50",21543,"spiritual pajamas","folk/country","skifflin'","the skiffle players",6.8,0,2,2016,735,1
"51",21577,"driftless","folk/country","janus","matt kivel",7.2,0,2,2016,735,7
"52",21515,"on-u sound","folk/country","long time traveller","jeb loy nichols",6.4,0,2,2016,735,7
"53",21461,"light in the attic","folk/country","the very special world of lee hazlewood","lee hazlewood",8.4,0,1,2016,735,61
"54",21473,"drag city","folk/country","pond scum","bonnie prince billy",7,0,1,2016,735,301
"55",21455,"4ad","folk/country","not to disappear","daughter",6.7,0,1,2016,735,139
"56",21455,"glassnote","folk/country","not to disappear","daughter",6.7,0,1,2016,735,26
"57",21389,"single lock","folk/country","cautionary tale","dylan leblanc",5.7,0,1,2016,735,1
"58",21297,"scissor tail","folk/country","listen to formation, look for the signs","nadia reid",7.2,0,12,2015,735,2
"59",21250,"nonesuch","folk/country","the wireless ep","punch brothers",6.8,0,11,2015,735,83
"60",21128,"riverboat","folk/country","the attic tapes","john renbourn",6.5,0,10,2015,735,3
"61",21097,"drag city","folk/country","divers","joanna newsom",8.5,1,10,2015,735,301
"62",21046,"don giovanni","folk/country","acne/ears","the roadside graves",6.9,0,9,2015,735,24
"63",20930,"no quarter","folk/country","over and even","joan shelley",7.8,0,9,2015,735,25
"64",20920,"bronze rat","folk/country","how the spark loves the tinder","monk parker",7.7,0,8,2015,735,1
"65",20865,"ba da bing!","folk/country","the complete recordings of jackson c. frank","jackson c. frank",8,0,8,2015,735,34
"66",20705,"no quarter","folk/country","duskland","zachary cale",7.1,0,8,2015,735,25
"67",20908,"last gang","folk/country","faded gloryville","lindi ortega",7,0,8,2015,735,24
"68",20908,"grand tour","folk/country","faded gloryville","lindi ortega",7,0,8,2015,735,1
"69",20716,"earth","folk/country","live at the 12 bar","bert jansch",7.7,0,7,2015,735,2
"70",20821,"thirty tigers","folk/country","watkins family hour","watkins family hour",7.4,0,7,2015,735,7
"71",20821,"family hour","folk/country","watkins family hour","watkins family hour",7.4,0,7,2015,735,1
"72",20697,"brown","folk/country","sing into my mouth","ben bridwell, iron & wine",5.2,0,7,2015,735,3
"73",20697,"black cricket","folk/country","sing into my mouth","ben bridwell, iron & wine",5.2,0,7,2015,735,2
"74",20679,"mercury nashville","folk/country","pageant material","kacey musgraves",8,0,6,2015,735,1
"75",20682,"fantasy","folk/country","still","richard thompson",7.5,0,6,2015,735,6
"76",20632,"drag city","folk/country","don't weigh down the light","meg baird",7.1,0,6,2015,735,301
"77",20632,"wichita","folk/country","don't weigh down the light","meg baird",7.1,0,6,2015,735,47
"78",20693,"caldo verde","folk/country","universal themes","sun kil moon",6,0,6,2015,735,32
"79",20565,"new west","folk/country","the deslondes","the deslondes",7.9,0,6,2015,735,26
"80",20597,"sub pop","folk/country","carnation","daughn gibson",4.3,0,6,2015,735,337
