"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22662,"glitterbeat","global","hologram mparatorluu","gaye su akyol",7.4,0,12,2016,245,5
"2",22679,"transgressive","global","africa express presents... the orchestra of syrian musicians & guests","the orchestra of syrian musicians",8,0,12,2016,245,19
"3",22563,"kranky","global","monument builders","loscil",7.4,0,11,2016,245,170
"4",22461,"ndagga","global","yermande","mark ernestus' ndagga rhythm force",8,0,10,2016,245,1
"5",22372,"strut","global","coming home (original ghanaian highlife & afrobeat classics 1967-1981)","pat thomas",7.2,0,10,2016,245,32
"6",22478,"tommy boy","global","throwback to the future","brookzill!",6.2,0,10,2016,245,11
"7",22435,"cumbancha","global","fio da memria","lusa maita",7.7,0,10,2016,245,1
"8",22396,"interscope","global","aim ","m.i.a.",5.9,0,9,2016,245,174
"9",22255,"philips","global","caetano veloso","caetano veloso",9.4,0,9,2016,245,8
"10",22239,"pi","global","slbyone","steve lehman, slbyone",8.1,0,8,2016,245,10
"11",22173,"mais um discos","global"," a mulher do fim do mundo (the woman at the end of the world) ","elza soares",8.4,1,7,2016,245,1
"12",22172,"stones throw","global","boleros valses y mas","frankie reyes",6.8,0,7,2016,245,109
"13",22106,"nu-roots","global","horror zone","max romeo",8,0,7,2016,245,1
"14",21895,"staubgold","global","resolutionary (songs 1979-1982)","vivien goldman",8.5,1,7,2016,245,28
"15",21966,"gronland","global","movie!","holger czukay",8,0,6,2016,245,4
"16",21960,"yep roc","global","the wailing wailers","the wailers",8,0,6,2016,245,87
"17",21949,"fpe","global","ere gobez","debo band",8.1,0,5,2016,245,1
"18",21908,"big crown","global","55","bacao rhythm & steel band",7.4,0,5,2016,245,1
"19",21701,"bureau b","global","cluster 71","cluster",8.5,0,5,2016,245,22
"20",21696,"crammed discs","global","konono n1 meets batida","konono n1, batida",6.8,0,4,2016,245,17
"21",21711,"awesome tapes from africa","global","trotro","dj katapila",7.7,0,3,2016,245,5
"22",21621,"victor","global","carta","especia",6.5,0,3,2016,245,2
"23",21398,"golf channel","global","basar","africaine 808",7.9,0,2,2016,245,4
"24",21556,"nonesuch","global","n so","rokia traor",5.8,0,2,2016,245,83
"25",21515,"on-u sound","global","long time traveller","jeb loy nichols",6.4,0,2,2016,245,7
"26",21385,"earth","global","film music","mikael tariverdiev",8,0,1,2016,245,2
"27",21213,"nonesuch","global","junun","shye ben tzur / jonny greenwood / the rajasthan express",8,0,11,2015,245,83
"28",20830,"monkeytown","global","bahdeni nami","omar souleyman",6.2,0,8,2015,245,15
"29",20662,"sony","global","amanecer","bomba estreo",6.8,0,6,2015,245,72
"30",20519,"mad decent","global","peace is the mission","major lazer",7.4,0,6,2015,245,30
"31",20538,"warp","global","nozinja lodge","nozinja",6.9,0,6,2015,245,239
"32",20324,"commmons","global","year book 2005-2014","ryuichi sakamoto",7.8,0,3,2015,245,3
"33",20270,"xl","global","ibeyi","ibeyi",7.4,0,2,2015,245,134
"34",20145,"transgressive","global","africa express presents... terry riley's in c mali","africa express",8.1,0,2,2015,245,19
"35",20118,"die schachtel","global","antico adagio","lino capra vaccina",7.9,0,1,2015,245,5
"36",20056,"luaka bop","global","box set","william onyeabor",9,1,12,2014,245,26
"37",19984,"glitterbeat","global","fourth world vol. 1: possible musics","brian eno, jon hassell",8.5,0,12,2014,245,5
"38",19953,"jazz village","global","film of life","tony allen",7.2,0,11,2014,245,1
"39",19815,"daptone","global","burnt offering","the budos band",7.3,0,10,2014,245,18
"40",19772,"knitting factory","global","vinyl box set 3","fela kuti",8.6,1,10,2014,245,7
"41",19557,"crammed discs","global","beware the fetish","kasai allstars",7.2,0,7,2014,245,17
"42",19426,"mixpak","global","where we come from","popcaan",8,0,6,2014,245,6
"43",19001,"city slang","global","abandoned city","hauschka",6.5,0,3,2014,245,42
"44",19001,"temporary residence","global","abandoned city","hauschka",6.5,0,3,2014,245,121
"45",19047,"secretly canadian","global","apocalypse soon ep","major lazer",5.8,0,3,2014,245,149
"46",19047,"mad decent","global","apocalypse soon ep","major lazer",5.8,0,3,2014,245,30
"47",18909,"anti-","global","emmaar","tinariwen",8.1,0,2,2014,245,115
"48",18732,"luaka bop","global","who is william onyeabor?","william onyeabor",8.6,1,11,2013,245,26
"49",18701,"interscope","global","matangi","m.i.a.",6.5,0,11,2013,245,174
"50",18665,"ribbon music","global","wenu wenu","omar souleyman",7.2,0,10,2013,245,15
