"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22707,"challenge","jazz","swiss radio days vol. 41 - zurich 1961","ray charles",9,1,12,2016,473,1
"2",22664,"eremite","jazz","slight freedom","jeff parker",8,0,12,2016,473,4
"3",22660,"ahead of our time","jazz","only heaven","coldcut",5.2,0,12,2016,473,2
"4",22639,"strut","jazz","singles","sun ra",8.7,1,12,2016,473,32
"5",22652,"nna tapes","jazz","amore per tutti","tredici bacci",7,0,12,2016,473,11
"6",22465,"northern spy","jazz","amalgam","okkyung lee, christian marclay",8,0,11,2016,473,30
"7",22347,"firehouse 12","jazz","away with you","mary halvorson",8,0,11,2016,473,5
"8",22520,"cold spring","jazz","strange city (cd)","sun ra, merzbow",7.3,0,11,2016,473,3
"9",22554,"legacy","jazz","freedom jazz dance: the bootleg series, vol. 5","miles davis quintet",7.5,0,11,2016,473,57
"10",22554,"columbia","jazz","freedom jazz dance: the bootleg series, vol. 5","miles davis quintet",7.5,0,11,2016,473,242
"11",22483,"motma","jazz","beyond now","donny mccaslin",6.4,0,10,2016,473,1
"12",22516,"pi","jazz","moving still","jonathan finlayson & sicilian defense",8.1,0,10,2016,473,10
"13",22497,"cuneiform","jazz","america's national parks","wadada leo smith",7.9,0,10,2016,473,9
"14",22307,"blue note","jazz","day breaks","norah jones",6.9,0,10,2016,473,30
"15",22299,"new amsterdam","jazz","real enemies","darcy james argue's secret society",8.3,0,10,2016,473,18
"16",22312,"blue note","jazz","artscience","robert glasper experiment",7.6,0,9,2016,473,30
"17",22358,"northern spy","jazz","cactus","matthew shipp, bobby kapp",7.6,0,9,2016,473,30
"18",22342,"stretch","jazz","circle 1: live in germany concert","circle",8.1,0,9,2016,473,1
"19",22342,"concord music group","jazz","circle 1: live in germany concert","circle",8.1,0,9,2016,473,1
"20",22271,"be with","jazz","funk factory","funk factory",7.3,0,9,2016,473,2
"21",22239,"pi","jazz","slbyone","steve lehman, slbyone",8.1,0,8,2016,473,10
"22",22188,"blue note","jazz","lovers","nels cline",7.6,0,8,2016,473,30
"23",22159,"philips","jazz","in concert","nina simone",10,0,7,2016,473,8
"24",22109,"innovative leisure","jazz","iv","badbadnotgood",7.1,0,7,2016,473,15
"25",22015,"roadrunner","jazz","magma","gojira",7.6,0,7,2016,473,20
"26",22038,"modern harmonic","jazz","john cage meets sun ra: the complete concert","john cage, sun ra",7.5,0,6,2016,473,2
"27",22007,"nonesuch","jazz","american tunes","allen toussaint",7.2,0,6,2016,473,83
"28",22002,"firehouse 12","jazz","argonautica","nate wooley",7.7,0,6,2016,473,5
"29",21821,"legacy","jazz","everything's beautiful","robert glasper, miles davis",7.4,0,5,2016,473,57
"30",21821,"columbia","jazz","everything's beautiful","robert glasper, miles davis",7.4,0,5,2016,473,242
"31",21821,"blue note","jazz","everything's beautiful","robert glasper, miles davis",7.4,0,5,2016,473,30
"32",21721,"ecm","jazz","andando el tiempo","carla bley",7.8,0,5,2016,473,16
"33",21918,"prestige","jazz","the complete prestige 10-inch lp collection","miles davis",8.4,0,5,2016,473,1
"34",21678,"decca","jazz","take me to the alley","gregory porter",6.7,0,5,2016,473,10
"35",21678,"blue note","jazz","take me to the alley","gregory porter",6.7,0,5,2016,473,30
"36",21817,"ecm","jazz","in movement","jack dejohnette, ravi coltrane, matthew garrison",8.3,0,5,2016,473,16
"37",21797,"jackpot records","jazz","at last!","etta james",9,0,4,2016,473,1
"38",21799,"resonance","jazz","some other time: the lost session from the black forest ","bill evans",8.4,1,4,2016,473,2
"39",21674,"pi recordings","jazz","old locks and irregular verbs","henry threadgill, ensemble double-up",8,0,4,2016,473,1
"40",21535,"firehouse 12","jazz","3 compositions (eemhm) 2011","anthony braxton",8.2,0,3,2016,473,5
"41",21518,"ecm","jazz","a cosmic rhythm with each stroke","vijay iyer, wadada leo smith",8.5,1,3,2016,473,16
"42",21575,"emi","jazz","emilys d+evolution","esperanza spalding",8.6,1,3,2016,473,107
"43",21463,"blue note","jazz","man made object","gogo penguin",7.5,0,2,2016,473,30
"44",21345,"esp-disk","jazz","bells/prophecy","albert ayler",8.4,0,1,2016,473,2
"45",21350,"ecm","jazz","the bell","ches smith",7.6,0,1,2016,473,16
"46",21158,"verve","jazz","a love supreme: the complete masters","john coltrane",10,1,11,2015,473,9
"47",21106,"spinefarm","jazz","international blackjazz society","shining",7,0,10,2015,473,4
"48",21105,"ropeadope","jazz","stretch music","christian scott",7.5,0,10,2015,473,7
"49",21027,"firehouse 12","jazz","meltframe","mary halvorson",8,0,9,2015,473,5
"50",20816,"columbia","jazz","miles davis at newport 1955-1975: the bootleg series vol. 4","miles davis",8,0,7,2015,473,242
"51",20816,"legacy","jazz","miles davis at newport 1955-1975: the bootleg series vol. 4","miles davis",8,0,7,2015,473,57
"52",20787,"light in the attic","jazz","don't just sing | an anthology: 1963-1999","karin krog",8,0,7,2015,473,61
"53",20754,"grnland","jazz","the conny plank session","duke ellington",7.8,0,7,2015,473,11
"54",20652,"greenleaf","jazz","high risk","dave douglas",7.6,0,6,2015,473,2
"55",20573,"blue note","jazz","covered","robert glasper trio",6.7,0,6,2015,473,30
"56",20505,"destination: out","jazz","the complete cecil taylor in berlin '88","cecil taylor",8.4,1,5,2015,473,1
"57",20557,"brainfeeder","jazz","the epic","kamasi washington",8.6,1,5,2015,473,28
"58",20482,"alpha pup","jazz","mars is a very bad place for love","the breathing effect",7.9,0,4,2015,473,9
"59",20196,"lex","jazz","sour soul","ghostface killah, badbadnotgood",6.2,0,2,2015,473,39
"60",20025,"constellation","jazz","coin coin chapter three: river run thee","matana roberts",8.2,0,2,2015,473,56
"61",20090,"northern spy","jazz","xe","zs",8,0,1,2015,473,30
"62",19984,"glitterbeat","jazz","fourth world vol. 1: possible musics","brian eno, jon hassell",8.5,0,12,2014,473,5
"63",19522,"impulse!","jazz","offering: live at temple university","john coltrane",8.5,1,10,2014,473,3
"64",19522,"resonance","jazz","offering: live at temple university","john coltrane",8.5,1,10,2014,473,2
"65",19736,"strut","jazz","in the orbit of ra","sun ra and his arkestra",8.8,1,10,2014,473,32
"66",19713,"thirsty ear","jazz","i've been to many places","matthew shipp",7.8,0,9,2014,473,52
