"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22719,"self-released","pop/r&b","merry christmas lil mama","chance the rapper, jeremih",8.1,0,12,2016,1623,475
"2",22691,"radio killa","pop/r&b","love you to death","the-dream",7,0,12,2016,1623,4
"3",22698,"hyperdub","pop/r&b","oh no no no remixes ep","jessy lanza",6.5,0,12,2016,1623,54
"4",22676,"domino","pop/r&b","harlequin","alex izenberg",6.3,0,12,2016,1623,284
"5",22641,"input","pop/r&b","love and noir.","denitia and sene",6.6,0,12,2016,1623,1
"6",22645,"columbia","pop/r&b","darkness and light","john legend",7,0,12,2016,1623,242
"7",22553,"reveal","pop/r&b","let it be you","joan as police woman, benjamin lazar davis",6.9,0,12,2016,1623,3
"8",22634,"atlantic","pop/r&b","24k magic","bruno mars",6.2,0,12,2016,1623,153
"9",22668,"republic","pop/r&b","starboy","the weeknd",6.7,0,11,2016,1623,28
"10",22595,"time no place","pop/r&b","l.a. heartbreak","rainbow arabia",6.5,0,11,2016,1623,3
"11",22467,"concord","pop/r&b","before the dawn","kate bush",8.5,1,11,2016,1623,6
"12",22467,"fish people","pop/r&b","before the dawn","kate bush",8.5,1,11,2016,1623,3
"13",22633,"bella union","pop/r&b","young narrator in the breakers","pavo pavo",7.2,0,11,2016,1623,57
"14",22648,"local action","pop/r&b","redemption","dawn richard",8,0,11,2016,1623,3
"15",22648,"our dawn","pop/r&b","redemption","dawn richard",8,0,11,2016,1623,3
"16",22603,"rca","pop/r&b","nightride","tinashe",7.8,0,11,2016,1623,107
"17",22611,"carpark","pop/r&b","slugger","sad13",7.4,0,11,2016,1623,67
"18",22610,"virgin","pop/r&b","long live the angels","emeli sand",5.4,0,11,2016,1623,149
"19",22623,"def jam","pop/r&b","free the real (pt. 2)","bibi bourelly",6.8,0,11,2016,1623,119
"20",22582,"rca","pop/r&b","here","alicia keys",6.5,0,11,2016,1623,107
"21",22571,"torn clean","pop/r&b","jessica rabbit","sleigh bells",5.9,0,11,2016,1623,1
"22",22550,"fat possum","pop/r&b","the visitor ","kadhja bonet",7.2,0,11,2016,1623,89
"23",22550,"fresh selects","pop/r&b","the visitor ","kadhja bonet",7.2,0,11,2016,1623,1
"24",22464,"weird world","pop/r&b","soft hair","soft hair",6.8,0,11,2016,1623,19
"25",22600,"polar","pop/r&b","arrival","abba",8.6,0,11,2016,1623,2
"26",22569,"stax","pop/r&b","live at the whiskey a go go: the complete recordings","otis redding",9,0,11,2016,1623,10
"27",22556,"daptone","pop/r&b","the olympians","the olympians",6.8,0,11,2016,1623,18
"28",22578,"island","pop/r&b","lady wood","tove lo",7,0,11,2016,1623,94
"29",22551,"labrador","pop/r&b","running out of love","the radio dept.",7.6,0,10,2016,1623,16
"30",22545,"atlantic","pop/r&b","mad love.","jojo",7,0,10,2016,1623,153
"31",22524,"interscope","pop/r&b","joanne","lady gaga",6.9,0,10,2016,1623,174
"32",22524,"streamline","pop/r&b","joanne","lady gaga",6.9,0,10,2016,1623,2
"33",22389,"stones throw","pop/r&b","yes lawd!","nxworries",8.2,1,10,2016,1623,109
"34",22494,"jajulin","pop/r&b","building a beginning","jamie lidell",6.2,0,10,2016,1623,1
"35",22489,"harvest","pop/r&b","the altar","banks",5.1,0,10,2016,1623,16
"36",22307,"blue note","pop/r&b","day breaks","norah jones",6.9,0,10,2016,1623,30
"37",22253,"a&m","pop/r&b","rhythm nation 1814","janet jackson",9,0,10,2016,1623,13
"38",22429,"self-released","pop/r&b","lamentations ","moses sumney",7.4,0,10,2016,1623,475
"39",22471,"republic","pop/r&b","three","phantogram",5.8,0,10,2016,1623,28
"40",22475,"kttf","pop/r&b","farewell, starlite!","francis and the lights",6.4,0,10,2016,1623,1
"41",22482,"saint","pop/r&b","a seat at the table","solange",8.7,1,10,2016,1623,2
"42",22482,"columbia","pop/r&b","a seat at the table","solange",8.7,1,10,2016,1623,242
"43",22447,"aaron abernathy music","pop/r&b","monologue","aaron abernathy",7.2,0,10,2016,1623,1
"44",22416,"weird world","pop/r&b","care","how to dress well",6.8,0,9,2016,1623,19
"45",22416,"domino","pop/r&b","care","how to dress well",6.8,0,9,2016,1623,284
"46",22400,"interscope","pop/r&b","i remember","alunageorge",6.6,0,9,2016,1623,174
"47",22400,"island","pop/r&b","i remember","alunageorge",6.6,0,9,2016,1623,94
"48",22045,"motown","pop/r&b","mamas gun","erykah badu",9.4,0,9,2016,1623,14
"49",22313,"glassnote","pop/r&b","i had a dream that you were mine","hamilton leithauser, rostam",8.3,1,9,2016,1623,26
"50",22418,"rca","pop/r&b","hard ii love","usher",6.6,0,9,2016,1623,107
"51",22396,"interscope","pop/r&b","aim ","m.i.a.",5.9,0,9,2016,1623,174
"52",22354,"interscope","pop/r&b","emotion side b","carly rae jepsen",7.1,0,9,2016,1623,174
"53",22354,"school boy","pop/r&b","emotion side b","carly rae jepsen",7.1,0,9,2016,1623,2
"54",22351,"no world","pop/r&b","as light as light","inc. no world",6.8,0,9,2016,1623,1
"55",22338,"npg","pop/r&b","one nite alone, the aftershow: it ain't over!","prince",8.6,1,9,2016,1623,10
"56",22295,"self-released","pop/r&b","blonde","frank ocean",9,1,8,2016,1623,475
"57",22273,"daptone","pop/r&b","miss sharon jones! ost","sharon jones and the dap-kings",7,0,8,2016,1623,18
"58",22174,"motown","pop/r&b","songs in the key of life","stevie wonder",10,0,8,2016,1623,14
"59",22193,"warner bros.","pop/r&b","partynextdoor 3 (p3)","partynextdoor",7.4,0,8,2016,1623,197
"60",22193,"ovo sound","pop/r&b","partynextdoor 3 (p3)","partynextdoor",7.4,0,8,2016,1623,6
"61",22206,"astro nautico","pop/r&b","what now?","jon bap",6.5,0,8,2016,1623,2
"62",22170,"ghostly international","pop/r&b","well worn","kllo",6.5,0,8,2016,1623,13
"63",22044,"epic","pop/r&b","dangerous","michael jackson",8.6,0,8,2016,1623,74
"64",22191,"epic","pop/r&b","major key","dj khaled",6.9,0,8,2016,1623,74
"65",22163,"rca","pop/r&b","for all we know","nao",7.9,0,8,2016,1623,107
"66",22163,"little tokyo","pop/r&b","for all we know","nao",7.9,0,8,2016,1623,2
"67",22159,"philips","pop/r&b","in concert","nina simone",10,0,7,2016,1623,8
"68",22180,"self-released","pop/r&b","late nights: europe","jeremih",7.8,0,7,2016,1623,475
"69",21886,"polydor","pop/r&b","love & hate","michael kiwanuka",6.9,0,7,2016,1623,58
"70",22176,"the leaf label","pop/r&b","cistern","jherek bischoff",6.8,0,7,2016,1623,1
"71",22156,"closed sessions","pop/r&b","heavn","jamila woods",8.4,1,7,2016,1623,4
"72",22110,"true panther","pop/r&b","princess","abra",6.2,0,7,2016,1623,40
"73",22075,"polydor","pop/r&b","nothings real","shura",7.7,0,7,2016,1623,58
"74",22057,"columbia","pop/r&b","blacksummersnight","maxwell",8.4,1,7,2016,1623,242
"75",22085,"play it again sam","pop/r&b","take her up to monto","risn murphy",7.8,0,7,2016,1623,3
"76",22104,"ovo sound","pop/r&b","waking at dawn","roy wood$",6,0,7,2016,1623,6
"77",22035,"columbia","pop/r&b","the miseducation of lauryn hill","lauryn hill",9.5,0,7,2016,1623,242
"78",22035,"ruffhouse","pop/r&b","the miseducation of lauryn hill","lauryn hill",9.5,0,7,2016,1623,4
"79",22060,"because music","pop/r&b","summer 08","metronomy",7.2,0,7,2016,1623,6
"80",22086,"erased tapes","pop/r&b","ellis","nils frahm, woodkid",6.3,0,7,2016,1623,19
"81",22083,"rca","pop/r&b","primary colours","magic!",3.5,0,7,2016,1623,107
"82",21883,"buzz","pop/r&b","weaves","weaves",6.8,0,7,2016,1623,4
"83",22052,"domino","pop/r&b","freetown sound","blood orange",8.8,1,6,2016,1623,284
"84",22029,"transgressive","pop/r&b","i, gemini","lets eat grandma",7.3,0,6,2016,1623,19
"85",22058,"cascine","pop/r&b","yoncalla","yumi zouma",7.4,0,6,2016,1623,14
"86",21719,"rca","pop/r&b","the dreaming room","laura mvula",7.8,0,6,2016,1623,107
"87",21719,"sony","pop/r&b","the dreaming room","laura mvula",7.8,0,6,2016,1623,72
"88",22000,"rca","pop/r&b","eldorado","ro james",6.5,0,6,2016,1623,107
"89",22000,"bystorm","pop/r&b","eldorado","ro james",6.5,0,6,2016,1623,2
"90",22040,"safehouse","pop/r&b","last year was complicated","nick jonas",6.3,0,6,2016,1623,1
"91",22040,"island","pop/r&b","last year was complicated","nick jonas",6.3,0,6,2016,1623,94
"92",21964,"emi","pop/r&b","hounds of love","kate bush",10,0,6,2016,1623,107
"93",21946,"moshi moshi","pop/r&b","piano","alexis taylor",7.1,0,6,2016,1623,34
"94",21932,"epic","pop/r&b","7/27","fifth harmony",6.2,0,6,2016,1623,74
"95",21942,"!k7","pop/r&b","dj-kicks","dm-funk",7.7,0,6,2016,1623,85
"96",21891,"sub pop","pop/r&b","x-communicate","kristin kontrol",7.5,0,5,2016,1623,337
"97",21922,"one little indian","pop/r&b","tempo","olga bell",7.9,0,5,2016,1623,31
"98",21892,"republic","pop/r&b","dangerous woman","ariana grande",7.6,0,5,2016,1623,28
"99",21923,"fade to mind","pop/r&b","infrared","dawn richard",7.7,0,5,2016,1623,10
"100",21865,"wichita","pop/r&b","cut and paste","oscar",6.5,0,5,2016,1623,47
"101",21802,"hyperdub","pop/r&b","oh no","jessy lanza",7.9,0,5,2016,1623,54
"102",21900,"virgin","pop/r&b","the heart speaks in whispers","corinne bailey rae",7.6,0,5,2016,1623,149
"103",21899,"xl","pop/r&b","99.9%","kaytranada",8,0,5,2016,1623,134
"104",21906,"universal","pop/r&b","the colour in anything","james blake",8.2,1,5,2016,1623,117
"105",21857,"masters of bates","pop/r&b","trgame tierra","big black delta",4.7,0,5,2016,1623,2
"106",21819,"secretly canadian","pop/r&b","hopelessness","anohni",9,1,5,2016,1623,149
"107",21819,"rough trade","pop/r&b","hopelessness","anohni",9,1,5,2016,1623,145
"108",21850,"self-released","pop/r&b","the feminine: act i","anna wise",6.9,0,5,2016,1623,475
"109",21845,"paisley park","pop/r&b","sign ""o"" the times","prince",10,0,4,2016,1623,8
"110",21842,"warner bros.","pop/r&b","1999","prince",10,0,4,2016,1623,197
"111",21844,"paisley park","pop/r&b","parade","prince, the revolution",9.1,0,4,2016,1623,8
"112",21846,"warner bros.","pop/r&b","diamonds and pearls","prince, the new power generation",8.3,0,4,2016,1623,197
"113",21846,"paisley park","pop/r&b","diamonds and pearls","prince, the new power generation",8.3,0,4,2016,1623,8
"114",21841,"warner bros.","pop/r&b","purple rain","prince, the revolution",10,0,4,2016,1623,197
