"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22704,"age 101","rap","stillness in wonderland","little simz",7.1,0,1,2017,1845,2
"2",22724,"roc nation","rap","filthy america its beautiful","the lox",5.3,0,1,2017,1845,16
"3",22745,"self-released","rap","run the jewels 3","run the jewels",8.6,1,1,2017,1845,475
"4",22720,"awge","rap","december 99th","yasiin bey",3.5,0,1,2017,1845,1
"5",22720,"a country called earth","rap","december 99th","yasiin bey",3.5,0,1,2017,1845,1
"6",22699,"babygrande","rap","don't smoke rock","smoke dza, pete rock",7.4,0,1,2017,1845,21
"7",22719,"self-released","rap","merry christmas lil mama","chance the rapper, jeremih",8.1,0,12,2016,1845,475
"8",22691,"radio killa","rap","love you to death","the-dream",7,0,12,2016,1845,4
"9",22708,"top dawg entertainment","rap","do what thou wilt.","ab-soul",4.4,0,12,2016,1845,5
"10",22692,"1017 brick squad","rap","the return of east atlanta santa","gucci mane",7.6,0,12,2016,1845,7
"11",22469,"republic","rap","passion, pain & demon slayin","kid cudi",6.7,0,12,2016,1845,28
"12",22469,"wicked awesome","rap","passion, pain & demon slayin","kid cudi",6.7,0,12,2016,1845,2
"13",22711,"don giovanni","rap","pieces in space","sammus",7.2,0,12,2016,1845,24
"14",22678,"columbia","rap","fireplace: thenottheotherside","hodgy",5,0,12,2016,1845,242
"15",22685,"fool's gold","rap","in the loop: a decade of remixes","a-trak",6.4,0,12,2016,1845,27
"16",22689,"empire","rap","american boyfriend: a suburban love story","kevin abstract",6.4,0,12,2016,1845,7
"17",22689,"brockhampton","rap","american boyfriend: a suburban love story","kevin abstract",6.4,0,12,2016,1845,1
"18",22686,"republic","rap","stoney","post malone",4.5,0,12,2016,1845,28
"19",22696,"roc nation","rap","4 your eyez only","j. cole",6.7,0,12,2016,1845,16
"20",22696,"dreamville","rap","4 your eyez only","j. cole",6.7,0,12,2016,1845,4
"21",22655,"self-released","rap","bucket list project","saba",7,0,12,2016,1845,475
"22",22682,"epic","rap","zero gravity ep","kodie shane",7.8,0,12,2016,1845,74
