"","reviewid","label","genre","title","artist","score","best_new_music","pub_month","pub_year","genre_occurrences","label_count"
"1",22722,"rca","","insecure (music from the hbo original series)","various artists",7.4,0,1,2017,NA,107
"2",22665,"soul jazz","","punk45: les punks: the french connection (the first wave of french punk 1977-80)","various artists",6.6,0,1,2017,NA,42
"3",22690,"brutal honest","","heart song","jess williamson",7.7,0,12,2016,NA,2
"4",22697,"pan","","throat","adr",7.1,0,12,2016,NA,10
"5",22673,"atlantic","","the hamilton mixtape","various artists",4.8,0,12,2016,NA,153
"6",22593,"numero group","","bobo yy: belle poque in upper volta","various artists",8.4,1,12,2016,NA,62
"7",22650,"pc music","","pc music, vol. 2","various artists",6.2,0,11,2016,NA,3
"8",22594,"light in the attic","","the microcosm: visionary music of continental europe, 1970-1986","various artists",7.7,0,11,2016,NA,61
"9",22581,"milan","","bleed for this ost","various artists",6,0,11,2016,NA,16
"10",22584,"in the red","","origin of what","tyvek",7.8,0,11,2016,NA,81
"11",22567,"rca","","lazarus ost","various artists",6.2,0,10,2016,NA,107
"12",22567,"columbia","","lazarus ost","various artists",6.2,0,10,2016,NA,242
"13",22567,"iso","","lazarus ost","various artists",6.2,0,10,2016,NA,4
"14",22542,"self-released","","headache","male bonding",6.8,0,10,2016,NA,475
"15",22436,"thrill jockey","","whatever forever","oozing wound",6.6,0,10,2016,NA,320
"16",22541,"american laundromat","","say yes! a tribute to elliott smith","various artists",6,0,10,2016,NA,3
"17",22504,"profound lore","","standard nature","wife",7,0,10,2016,NA,74
"18",22382,"tompkins square","","imaginational anthem vol. 8 : the private press","various artists",7.5,0,9,2016,NA,29
"19",22283,"mg.art","","e2-e4","manuel gttsching",9.2,1,9,2016,NA,1
"20",22238,"goma gringa","","desconstruo","various artists",8.3,0,9,2016,NA,1
"21",22286,"orchid tapes","","patientness","yohuna",7.2,0,9,2016,NA,9
"22",22337,"goner","","cosmetic","nots",7.8,0,9,2016,NA,30
"23",22285,"self-released","","atomic bomb compilation vol. 4","various artists",7.7,0,8,2016,NA,475
"24",22276,"self-released","","cdw ep","charlotte day wilson",7.8,0,8,2016,NA,475
"25",22227,"orchid tapes","","radiating light: orchid tapes & friends","various artists",6.7,0,8,2016,NA,9
"26",22262,"rca","","the get down ost","various artists",6.2,0,8,2016,NA,107
"27",22220,"better days","","more better days","various artists",8.3,0,8,2016,NA,1
"28",22202,"mass appeal","","the land ost","various artists",6.1,0,8,2016,NA,9
"29",22219,"intercoastal artists","","interior architecture","m. geddes gengras",7,0,8,2016,NA,2
"30",22137,"atlantic","","suicide squad: the album","various artists",4,0,8,2016,NA,153
"31",22200,"famous class","","start your own fucking show space","various artists",7.8,0,8,2016,NA,3
"32",22152,"l.a. club resource","","hangin at the beach","delroy edwards",7.5,0,8,2016,NA,1
"33",22165,"sacred bones","","spend the night with...","cheena",6.9,0,8,2016,NA,92
"34",22118,"efficient space","","sky girl","various artists",8.2,0,7,2016,NA,1
"35",22128,"burger","","this is gap dream","gap dream",5.2,0,7,2016,NA,13
"36",22166,"sound signature","","sound signature presents: these songs that should've been out on wax by now - part one","various artists",7.4,0,7,2016,NA,3
"37",22126,"gqom oh!","","gqom oh! x crudo volta mixtape","various artists",7,0,7,2016,NA,2
"38",22108,"130701","","eleven into fifteen: a 130701 compilation","various artists",7.5,0,7,2016,NA,5
"39",22064,"wharf cat","","double bind","trust punks",6.9,0,7,2016,NA,3
"40",22064,"spunk","","double bind","trust punks",6.9,0,7,2016,NA,2
"41",22064,"faux discx","","double bind","trust punks",6.9,0,7,2016,NA,2
"42",22066,"manifesto","","autodrama","puro instinct",6.4,0,7,2016,NA,13
"43",22070,"river tiber","","indigo","river tiber",7.8,0,6,2016,NA,1
"44",22001,"don giovanni","","fire","amy klein",4.9,0,6,2016,NA,24
"45",21968,"mint","","jay ii","jay arner",7,0,6,2016,NA,16
"46",22012,"telephone explosion","","post plague","odonis odonis",7.9,0,6,2016,NA,3
